,stmt_date,stmt_desc,stmt_exp
539,05/16/17,CVSPHARMACY 00017,4.64
540,05/18/17,CVSPHARMACY 00017,1.39
541,07/01/17,CVSPHARMACY 00017,2.44
542,08/14/17,CVSPHARMACY 00017,19.63
543,11/24/17,CVSPHARMACY 00017,19.63
544,01/16/17,COXPHOENIX COMM SERV,117.03
545,02/02/17,ISACA,170.00
546,02/16/17,COXPHOENIX COMM SERV,96.91
547,03/20/17,COX PHOENIX COMM SERV,71.91
548,04/17/17,COX PHOENIX COMM SERV,96.91
549,05/08/17,PAYPAL UDEMY,10.00
550,05/17/17,COX PHOENIX COMM SERV,97.03
551,06/16/17,COX PHOENIX COMM SERV,97.03
552,07/17/17,COX PHOENIX COMM SERV,97.03
553,08/16/17,COX PHOENIX COMM SERV,97.10
554,09/16/17,COX PHOENIX COMM SERV,75.16
555,10/17/17,COX PHOENIX COMM SERV,93.17
556,10/23/17,ATT SM09 5444,54.59
557,11/16/17,COX PHOENIX COMM SERV,89.62
558,12/18/17,COX PHOENIX COMM SERV,89.62
