,stmt_date,stmt_desc,stmt_exp
124,10/20/17,LOWES 01157,45.49
125,10/21/17,ALLIANCE LUMBER GLENDA,98.28
126,10/21/17,SAMS CLUB 6608,19.05
127,10/23/17,COSTCO WHSE 0674,10.15
128,10/23/17,SAMSCLUB 4732,27.78
129,10/25/17,A G TURF EQUIPMENT IN,250.82
130,10/25/17,THE HOME DEPOT 0459,57.31
131,10/28/17,5010 ALLIED BLDG PROD,364.28
132,10/28/17,PRESCOTT DIRT LLC,46.97
133,11/04/17,COSTCO WHSE 0674,17.59
134,11/04/17,HARBOR FREIGHT TOOLS 1,13.12
135,11/06/17,THE HOME DEPOT 0459,47.70
136,11/06/17,WM SUPERCENTER 1532,6.38
137,11/07/17,5010 ALLIED BLDG PROD,364.28
138,11/11/17,HARBOR FREIGHT TOOLS 1,9.55
139,11/13/17,ACE HARDWARE,-27.30
140,11/13/17,ACE HARDWARE,49.13
141,11/13/17,BIG LOTS 4634,6.56
142,11/13/17,COSTCO WHSE 0674,35.80
143,11/13/17,THE HOME DEPOT 0459,7.86
144,11/13/17,THE HOME DEPOT 0459,32.69
145,11/17/17,PAULDEN AREA ACE HARDW,7.84
146,11/17/17,PAULDEN AREA ACE HARDW,16.97
147,11/21/17,WWWTOTALAV.COM,8.99
148,11/24/17,COPPER STATE - BLL,19.60
149,11/24/17,THE HOME DEPOT 0459,33.38
150,11/28/17,COSTCO WHSE 0674,23.64
151,11/29/17,HARBOR FREIGHT TOOLS 1,4.56
152,12/13/17,COSTCO WHSE 0674,28.51
153,12/20/17,WWWTOTALAV.COM,8.99
154,12/23/17,THRIFT BOOKS GLOBAL LL,20.92
155,01/02/17,LAHABRA GROCERY OUT,80.88
156,01/02/17,LAHABRA GROCERY OUTSSS,-7.98
157,01/03/17,ALBERTSONS 0971,22.29
158,01/05/17,ALBERTSONS 0971,37.87
159,01/06/17,ALBERTSONS 0971 SSS,-7.11
160,01/06/17,SPROUTS FARMERS MAR,8.61
161,01/09/17,FRYS-FOOD-DRG 060,10.25
162,01/12/17,SAFEWAY STORE00002402,21.98
163,01/12/17,SPROUTS FARMERS MAR,2.05
164,01/12/17,SPROUTS FARMERS MAR,4.10
165,01/16/17,99 CENTS ONLY STORES 2,34.92
166,01/17/17,ALBERTSONS 0971,45.11
167,01/18/17,SPROUTS FARMERS MAR,1.56
168,01/20/17,SPROUTS FARMERS MAR,3.09
169,01/23/17,FOOD CITY 105,10.93
170,01/23/17,FOOD CITY 105,38.99
171,01/27/17,99-CENTS-ONLY 0322,10.47
172,01/27/17,SPROUTS FARMERS MAR,3.72
173,01/30/17,99-CENTS-ONLY 0122,28.53
174,01/31/17,ALBERTSONS 0971,7.82
175,01/31/17,ALBERTSONS 0971,33.91
176,01/31/17,FOOD CITY 104,18.71
177,02/01/17,SAFEWAY STORE00002402,1.74
178,02/01/17,SAFEWAY STORE00002402,18.60
179,02/06/17,99 CENTS ONLY STORES 2,17.35
180,02/06/17,ALBERTSONS 0971,18.20
181,02/08/17,FRYS-MKTPLACE 617,5.82
182,02/14/17,BASHAS 120,3.03
183,02/14/17,BASHAS 120,4.17
184,02/16/17,WAL-MART 3241,62.53
185,02/21/17,99 CENTS ONLY STORES 2,4.32
186,02/21/17,ALBERTSONS 0971,8.84
187,02/21/17,ALBERTSONS 0971,15.66
188,02/27/17,TRADER JOES 085 QPS,12.26
189,03/02/17,SAFEWAY STORE00002402,9.34
190,03/02/17,SAFEWAY STORE00002402,10.78
191,03/04/17,99 CENTS ONLY STORES 2,4.10
192,03/06/17,FRYS-MKTPLACE 625,16.03
193,03/10/17,SAFEWAY STORE00002402,5.08
194,03/14/17,FRYS-MKTPLACE 617,6.84
195,03/15/17,ALBERTSONS 0941,7.96
196,03/16/17,FOOD CITY 105,3.94
197,03/16/17,SAFEWAY STORE00002402,11.96
198,03/17/17,99-CENTS-ONLY 0322,3.26
199,03/17/17,SPROUTS FARMERS MAR,8.69
200,03/18/17,99 CENTS ONLY STORES 2,9.83
201,03/20/17,WM SUPERCENTER 3241,4.99
202,03/21/17,FRYS-MKTPLACE 617,3.08
203,03/23/17,SAFEWAY STORE00002402,1.76
204,03/23/17,WM SUPERCENTER 3241,18.61
205,03/24/17,99 CENTS ONLY STORES 2,7.18
206,03/31/17,99 CENTS ONLY STORES 2,2.18
207,03/31/17,WAL-MART 3241,13.04
208,04/03/17,LAHABRA GROCERY OUT,60.86
209,04/04/17,ALBERTSONS 0971,13.76
210,04/04/17,ALBERTSONS 0971,18.27
211,04/06/17,SAFEWAY STORE00002402,1.54
212,04/08/17,WAL-MART 3241,4.35
213,04/10/17,99 CENTS ONLY STORES 2,8.41
214,04/10/17,99-CENTS-ONLY 0131,4.17
215,04/11/17,SAFEWAY STORE00015107,2.28
216,04/12/17,SAFEWAY STORE 00017475 CHINO,9.92
217,04/18/17,PURITANS PRIDE,81.46
218,04/24/17,ALBERTSONS 0971,11.63
219,04/24/17,ALBERTSONS 0971,17.17
220,04/25/17,99-CENTS-ONLY 0322,13.50
221,04/26/17,WM SUPERCENTER 3241,5.87
222,04/28/17,FOOD CITY 142,3.04
223,05/09/17,99-CENTS-ONLY 0322,9.49
224,05/13/17,99-CENTS-ONLY 0322,2.17
225,05/18/17,FOOD CITY 105,4.36
226,05/19/17,SPROUTS FARMERS MAR,5.76
227,05/19/17,WAL-MART 3241,15.36
228,05/20/17,99 CENTS ONLY STORES 2,11.16
229,05/20/17,WM SUPERCENTER 3241,8.12
230,06/07/17,99-CENTS-ONLY 0322,6.17
231,06/09/17,SPROUTS FARMERS MAR,4.17
232,06/10/17,99 CENTS ONLY STORES 2,28.69
233,06/15/17,99-CENTS-ONLY 0322,9.00
234,06/15/17,SAFEWAY STORE00002402,12.23
235,06/22/17,99 CENTS ONLY STORES 2,7.45
236,06/30/17,SPROUTS FARMERS MAR,7.55
237,07/01/17,FOOD CITY 105,3.94
238,07/01/17,FOOD CITY 105,10.90
239,07/01/17,SMITHS FOOD 4190,27.65
240,07/03/17,FRYS-FOOD-DRG 060,4.43
241,07/04/17,WM SUPERCENTER 5303,66.95
242,07/05/17,99 CENTS ONLY STORES 2,3.08
243,07/05/17,99 CENTS ONLY STORES 2,15.90
244,07/06/17,ALBERTSONS 0971,45.09
245,07/07/17,FRYS-MKTPLACE 625,37.81
246,07/10/17,FOOD CITY 105,2.65
247,07/10/17,FOOD CITY 105,5.21
248,07/11/17,FOOD CITY 105,9.19
249,07/11/17,FOOD CITY 105,55.67
250,07/11/17,FRYS-MKTPLACE 625,23.09
251,07/14/17,FOOD CITY 105,3.51
252,07/17/17,99-CENTS-ONLY 0122,4.00
253,07/17/17,99-CENTS-ONLY 0122,25.64
254,07/22/17,FOOD CITY 105,5.83
255,07/22/17,SPROUTS FARMERS MAR,5.84
256,07/25/17,FRYS-FOOD-DRG 045,19.35
257,07/26/17,99 CENTS ONLY STORES 2,2.05
258,07/26/17,FRYS-MKTPLACE 617,4.49
259,07/26/17,SAFEWAY STORE00015107,7.67
260,07/31/17,ALBERTSONS 0941,7.92
